Unnamed: 0,file,id,date_time,dur,media_id,audio_kmeans_lables,audio_kmeans_center_dis,audio_text
0,yga0721-20250430104332-2373904119741533,yga0721,2025-04-30 10:43:32,45.51,2373904119741530,5,0.9022505596314404,"(1) Fast-paced, high-energy Mandarin pop music with a male vocalist plays continuously. (2) High-pitched cheering and 'Woo!' sounds from both the children and an adult woman are heard clearly over the music. (3) The acoustic environment is dominated by the TV audio and the immediate room's reactions, creating a festive atmosphere. (4) No distinct ambient noise or Foley effects are heard, just the synthesized pop track and vocals."
1,yga0721-20250502174002-1261264749196499,yga0721,2025-05-02 17:40:02,32.19,1261264749196500,5,0.925798095089069,"(1) No background music is present. High-pitched child's laughter and a male adult's voice are heard in conversation. The male's voice is encouraging and amused. (2) The child repeatedly says '跨年' (stepping over the year) and laughs. The adult male provides commentary and laughs loudly. (3) As the woman appears, her voice joins in, also saying '跨年'. (4) The audio reaches a peak of excitement with multiple voices shouting '新年快樂' (Happy New Year) accompanied by the sounds of clapping and frantic hand movements hitting the air."
2,yga0721-20250429150341-1391040025446469,yga0721,2025-04-29 15:03:41,58.19,1391040025446470,5,0.951162532686078,"(1) A female voice is heard speaking clearly and narratively, describing a story about someone with prosthetic legs. (2) A male voice interjects with sounds of agreement and short comments like ""Oh, right, right."" (3) As the woman continues, her voice becomes shaky and emotional, sounding as if she is on the verge of crying. (4) The sound of collective clapping and cheering is heard towards the middle-end of the clip. (5) The overall soundscape is clean studio audio with no significant background music, focusing entirely on the dialogue."
3,yga0721-20250502110005-825213347238686,yga0721,2025-05-02 11:00:05,26.1,825213347238686,4,0.9552777764066416,"(1) Upbeat, rhythmic, and melodic background music begins immediately and plays throughout the video. (2) At approximately 0:14, a male voice speaks in Mandarin, saying '送妳的愛心樹, Love Tree' (Giving you the love tree), followed by cheerful laughter from a woman. (3) The music continues at a steady volume with subtle outdoor ambient wind noise until the end."
4,yga0721-20250503001706-1460932138918279,yga0721,2025-05-03 00:17:06,83.46,1460932138918280,0,0.8130819298069014,"(1) Fast-paced, upbeat, and celebratory music plays as a male and female voice shout greetings simultaneously in an excited, high-pitched tone. (2) The male voice takes the lead, speaking Mandarin with high energy and occasional Hokkien phrases, describing the food and transitioning to the drinks. (3) The female voice joins in, her tone bright and persuasive as she describes the taste and health benefits of specific flavors. (4) Background music maintains a steady, rhythmic beat with occasional sound effects (pops/chimes) syncing with on-screen text appearances. (5) The audio concludes with a synchronized cheer from both speakers over a festive musical crescendo."
5,yga0721-20250430234205-927066019741199,yga0721,2025-04-30 23:42:05,59.63,927066019741199,5,0.9548488618249142,"(1) Fast-paced, high-pitched male voice speaking in Mandarin with an excited and urgent tone, accompanied by upbeat, high-tempo background music with a strong electronic beat. (2) Sound of factory machinery and ambient workplace noise layered under the continuing music. (3) The man shouts emphatically 'Mei-You-Nei!' (Not at all!) while the woman's voice joins in with a more measured, steady tone explaining manufacturing details."
6,yga0721-20250430140758-1435500961616519,yga0721,2025-04-30 14:07:58,57.36,1435500961616520,5,0.9481667155213316,"(1) A calm female voice reads a narrative in Mandarin. (2) A male voice suddenly interrupts with a loud, high-pitched Japanese shout 'Chotto Matte!', followed by rapid, high-volume speaking in a mix of Mandarin and Hokkien. (3) Fast-paced, upbeat comedic music begins, featuring electronic beats and variety-show style sound effects like 'boing' and impact noises. (4) The male voice remains energetic and loud, yelling and hitting the table, which creates percussive thuds. (5) The audio ends with the man's loud delivery of a joke followed by a brief silence or musical tail."
7,yga0721-20250429162542-900814659316900,yga0721,2025-04-29 16:25:42,37.99,900814659316900,5,0.984661654703473,"(1) High-pitched, loud male vocals dominate the audio, speaking Mandarin and Taiwanese with an aggressive and excited tone. (2) An upbeat, fast-tempo electronic background track with strong percussion beats plays continuously. (3) A calmer female voice is heard briefly responding to the male speaker, creating a dialogue dynamic. (4) Sound effects (SFX) like sparkles or emphasis hits accompany the appearance of text overlays."
8,yga0721-20250502070004-2345753715933560,yga0721,2025-05-02 07:00:04,86.57,2345753715933560,0,0.835822783746424,"(1) High-energy male vocals begin immediately, speaking in a loud, fast-paced, and humorous tone in Mandarin and Taiwanese. Upbeat, rhythmic background music with a fast tempo plays continuously. (2) Sound effects (SFX) such as cartoonish pops and impact sounds are heard in sync with text appearances. (3) A female voice occasionally chimes in with short agreements or laughter. (4) The male speaker changes his vocal pitch to mimic whining and crying during certain segments, while the BGM remains steady. (5) The audio ends with a sharp vocal exclamation followed by a quick fade-out of the music."
9,yga0721-20251106013248-1220563339578319,yga0721,2025-11-06 01:32:48,70.64,1220563339578320,5,0.9596237886542348,"(1) Male vocals are heard in a conversational, fast-paced dialogue in Mandarin and Taiwanese, with light ambient office noise in the background. (2) A sudden transition occurs as a high-energy, bass-heavy electronic beat begins, and rhythmic male rapping vocals take over. (3) The music continues with a consistent upbeat tempo, featuring repetitive lyrical hooks and group vocal shouts that synchronize with the visual cuts."
