file,audio_kmeans_lables,label,text,id
yga0721-20250430104332-2373904119741533,0,High-tempo Music,"(1) Fast-paced, high-energy Mandarin pop music with a male vocalist plays continuously. (2) High-pitched cheering and 'Woo!' sounds from both the children and an adult woman are heard clearly over the music. (3) The acoustic environment is dominated by the TV audio and the immediate room's reactions, creating a festive atmosphere. (4) No distinct ambient noise or Foley effects are heard, just the synthesized pop track and vocals.",yga0721
yga0721-20250928123209-3256577404526283,0,High-tempo Music,"(1) High-energy Mandopop music begins immediately with a dominant male vocal singing with a passionate, high-pitched tone. (2) The background music features a driving beat with prominent drums, layered with melodic piano and dramatic string arrangements. (3) The vocals remain consistently high in the mix, demonstrating a wide dynamic range and emotional delivery. (4) The recording quality is clear and professional, consistent with a studio environment, with no significant ambient noise or distracting sound effects.",yga0721
yga0721-20250213170746-908739578298355,0,High-tempo Music,"(1) High-energy electronic music begins immediately, featuring a repetitive vocal sample saying 'Kenchana'. (2) A melodic 'Ding-ding-ding-ding' rhythm plays in sync with the visual cuts. (3) The vocal line and rhythmic melody continue at a constant, fast tempo until the video loops.",yga0721
yga0721-20250408132842-1221883949463628,0,High-tempo Music,"(1) The audio begins with a silent indoor environment with minimal background hum. (2) At 00:07, a loud, low-frequency rumbling sound starts abruptly, accompanied by the sharp, chaotic rattling of household objects and the building's structure. (3) The intense rumbling and rattling continue for approximately 12 seconds before fading out, eventually returning to the initial silence of the room.",yga0721
yga0721-20250430150716-1647560136598246,0,High-tempo Music,"(1) A high-pitched, rhythmic vocal track begins immediately, consisting of repetitive 'Ha!' sounds synced to a fast EDM beat. (2) The vocals maintain a constant, high-energy pace throughout the video without melodic variation. (3) There are no significant ambient noises, as the audio is a clean, edited studio track.",yga0721
yga0721-20250502180410-1676848297007948,0,High-tempo Music,"(1) Upbeat, high-tempo Japanese-style pop music begins immediately and remains consistent throughout the video. (2) No clear human speech or vocals are heard from the main characters over the music. (3) Faint ambient sounds of the bank and ATM mechanical movements are audible in the background but are largely masked by the BGM. (4) The music reaches a final upbeat crescendo as the video ends.",yga0721
yga0721-20250501162909-1539532037160165,0,High-tempo Music,"(1) Fast-paced, upbeat background music with a strong rhythmic beat. A high-pitched, energetic male voice speaks rapidly in Mandarin, occasionally punctuated by a female voice's brief response. (2) Loud 'whoosh' and impact sound effects (SFX) occur during scene transitions. The male voice becomes louder and more aggressive, sounding like a mock-lecture. (3) Sound of paper bags crinkling is heard clearly. The music remains consistent in tempo. (4) Fabric rustling sounds as clothes are handled. A second male voice is heard briefly. (5) The main male voice reaches a peak volume, shouting emphatically. The music reaches a crescendo with a final 'boom' SFX as the video ends.",yga0721
yga0721-20250810151826-881392754756410,0,High-tempo Music,"(1) High-energy, fast-paced electronic background music begins immediately. A male voice speaks loudly and enthusiastically in Mandarin, with a questioning tone. (2) As the scene transitions to the restaurant, the music remains upbeat. Loud chewing and swallowing sounds are audible, occasionally accented by 'pop' or 'ding' sound effects to highlight text appearances. (3) A female voice is heard laughing and providing short, encouraging comments in the background. (4) The audio maintains a high-tempo, chaotic energy throughout the montage, concluding with the music fading out as a final call-to-action is delivered.",yga0721
yga0721-20250905180808-756070243795094,0,High-tempo Music,"(1) The audio starts with wind noise and the sound of snowboard edges scraping on snow, mixed with a male voice shouting 'Checking the results' in Chinese. (2) An upbeat, high-tempo pop/rock background music track with prominent drums and electric guitar begins and continues throughout the video. (3) Intermittent sound effects of whooshing and impacts are heard during the snowboarding clips. (4) The video ends with the music reaching a crescendo as the man cheers loudly, accompanied by the sound of muffled wind and nearby ambient voices at the bottom of the slope.",yga0721
yga0721-20250909180928-2712851459067601,0,High-tempo Music,"(1) Intense cinematic music starts abruptly with a loud, aggressive female shout. (2) A deep, authoritative male voiceover (announcer style) begins, speaking dramatically in Mandarin over a fast-paced electronic beat. (3) Sound effects of heavy punching thuds and wind whooshes accompany the visual montage. (4) The soundtrack transitions to a high-energy, suspenseful background track as the male character speaks in a mix of Mandarin and Hokkien; his tone is provocative and loud. (5) Ambient park noises are barely audible under the dominant music and vocals. (6) The video ends with a dramatic musical swell and a deep echo effect on the final spoken title.",yga0721
