,file,id,date_time,dur,media_id,visual_kmeans_lables,visual_kmeans_center_dis,visual_text
0,yga0721-20250430104332-2373904119741533,yga0721,2025-04-30 10:43:32,45.51,2373904119741533.0,3,0.8463352015767032,"(1) A young boy with short black hair, wearing brown pajamas patterned with bubble tea illustrations, sits on the edge of a light-colored wooden coffee table in a modern living room. He is facing away from the camera, holding a small red toy car in his right hand while staring intently at a large flat-screen television showing colorful fireworks bursting against a dark blue sky. The room is brightly lit by overhead lights, revealing a minimalist white wall unit with a PlayStation 5 and various small electronics tucked into the shelves. (2) Another boy, also in matching bubble tea pajamas and wearing glasses, is sitting on the table next to the first boy. In the background, visible through a large glass window that shows a dark night sky and city lights, a woman in a pink sweatshirt and shorts stands by a white sofa. She is holding a smartphone and waving her hand enthusiastically while cheering. A small decorated Christmas tree with red ornaments and white lights stands in the corner of the room near the window. (3) The camera pans closer to the television screen, which now displays the Taipei 101 tower lit up with green and yellow lights as part of the 2025 New Year's Eve fireworks show. The logo 'TVBS HD LIVE' is visible in the top right corner. One of the boys turns toward the camera with a wide, joyful smile, his eyes squinted with excitement, before looking back at the screen. The furniture, including the white sofa and grey rug, creates a cozy, domestic environment under the warm interior lighting. (4) One of the boys stands up from the wooden table and walks toward the TV, extending his hand to point directly at the fireworks exploding around the Taipei 101 tower on the screen. After pointing, he quickly turns around and hops back onto the table to rejoin his sibling, both children continuing to watch the broadcast with high energy and visible fascination."
1,yga0721-20250502174002-1261264749196499,yga0721,2025-05-02 17:40:02,32.19,1261264749196499.0,3,0.9070060493754768,"(1) A young boy with short black hair wearing tan pajamas with brown circle patterns stands in a brightly lit modern indoor hallway. He holds a white piece of paper with a hand-drawn Chinese character '年' and some small snowflake-like drawings. He smiles broadly at the camera with a joyful expression. (2) The boy squats down on the light-colored wood-grain flooring and carefully places the paper flat on the ground. He then stands up, positions himself in front of the paper, and jumps over it, landing successfully while looking back at the camera. (3) The boy reaches down to pick the paper back up, showing it closely to the lens. The background shows white minimalist cabinetry and a door frame. (4) The boy places the paper back on the floor. A woman wearing a pink hooded tracksuit and a white face mask enters the frame from the left and steps over the paper. Another slightly older boy wearing black-rimmed glasses and identical patterned pajamas follows her, stepping over the paper with a smile. (5) The scene shifts to a living room area with a large white sectional sofa and a Christmas tree visible in the background. The family members are seen jumping and raising their arms in celebration. Hand-held camera movements follow the action, creating a dynamic and home-movie feel with natural indoor lighting."
2,yga0721-20250429150341-1391040025446469,yga0721,2025-04-29 15:03:41,58.19,1391040025446469.0,2,0.5785513742110102,"(1) A woman with long dark hair, wearing a white oversized sweatshirt with black straps, speaks earnestly into a large black studio microphone. She gestures with her hands while looking slightly off-camera toward another speaker. The background is a simple, uniform teal curtain. (2) Cut to a man with short brown hair, wearing a beige and grey color-blocked sweater and white over-ear headphones, listening and interjecting into his microphone. The background features a brick wall lined with colorful character figurines, such as Pinocchio and Buzz Lightyear. (3) Transition back to the first woman, whose expression becomes visibly softer and emotional. She continues speaking while using her fingers to wipe away tears from her eyes. The studio lighting remains bright and even. (4) A brief cutaway shows a second woman with hair in pigtails wearing a black hoodie, looking down at a smartphone she is holding. She is seated next to the man on a sofa decorated with colorful pillows. (5) A man wearing a large, comical orange mask with blue hair and a wide-eyed expression claps his hands together in a red armchair. He is positioned against the same teal curtain background as the first speaker. (6) The video returns to the first woman, who is now visibly crying and wiping her face with a white tissue. She continues her narrative with a trembling expression as the camera captures her emotional reaction in a medium close-up."
3,yga0721-20250502110005-825213347238686,yga0721,2025-05-02 11:00:05,26.1,825213347238686.0,3,0.8362015647049419,"(1) The scene begins with a close-up of a white heart-shaped snowball hanging from a thin, needle-covered branch of an evergreen tree. The background is a soft-focus forest with dappled sunlight. (2) A hand wearing a black and white patterned glove holds a similar white snow heart up toward the camera lens, showcasing its shape. (3) Sunlight sparkles on the surface of another snow heart hanging on a branch, highlighting its icy texture in a tight close-up shot. (4) A man wearing a black and white patterned jacket with an orange vest is visible in the blurry background of a snowy park. (5) The camera captures the man in a medium shot as he crouches on the snowy ground, using a bright red heart-shaped plastic snowball maker to press snow. (6) A close-up shows the red tool opening to reveal a perfectly formed snow heart. (7) The man carefully hangs a red-colored snow heart onto the tree branch next to the white ones. (8) He stands back and gestures excitedly toward the tree, which is now decorated with multiple hearts. (9) A woman wearing a yellow long-sleeve shirt and pink overalls enters the frame; she smiles broadly and looks at the decorated tree. (10) The couple stands together in front of the tree, both smiling and making small finger-heart gestures toward the camera in a medium full shot."
4,yga0721-20250503001706-1460932138918279,yga0721,2025-05-03 00:17:06,83.46,1460932138918279.0,2,0.8879042752491655,"(1) A man with short brown hair in a bright orange hoodie and a woman with her hair in two small buns wearing a dark red hoodie stand in a modern, brightly lit kitchen. Behind them is a white refrigerator decorated with a red diamond-shaped New Year sticker and a red lantern hanging from the ceiling. On the table in front of them is a lavish spread of Chinese New Year dishes, including a whole cooked crab, shrimp, and meat platters. They are smiling broadly and waving energetically toward the camera. (2) The camera cuts to close-up shots of several beverage bottles from the brand OKASANG arranged on the table next to the festive food. The man holds up a dark-colored bottle with a black label, showing it to the viewers while gesturing with his other hand. The lighting remains bright and consistent, emphasizing the product packaging and the vibrant colors of the food. (3) The woman is shown holding two different colored bottles, one with a green label and one with a purple label, while smiling and nodding. She then pours a yellowish-brown liquid from a clear bottle into a glass, showcasing the smooth flow of the beverage. The setting remains the kitchen with various kitchen appliances like a stove and cabinets visible in the background. (4) The woman takes a sip of the drink from the glass, closing her eyes briefly as if enjoying the taste, while the man continues to point at the bottles lined up on the counter. The camera uses quick cuts to alternate between their expressions and the specific products they are highlighting. (5) They transition to presenting a red rectangular box titled 'Red Dates Extract'. The man and woman both hold copies of the box and small individual packets, pointing to the text on the packaging. The video ends with them holding red OKASANG gift bags and more product boxes, waving and smiling festively at the camera in a wide-angled shot."
5,yga0721-20250430234205-927066019741199,yga0721,2025-04-30 23:42:05,59.63,927066019741199.0,2,0.5535426082100355,"(1) The scene opens in a well-lit indoor studio where a man and a woman sit at a light-colored wooden desk, both wearing matching bright orange jumpsuits with various professional-looking patches on the chest and sleeves. The man, with styled brown hair, holds white papers and looks at them with an intense expression while speaking. (2) As the man continues his animated explanation, he gestures frequently with his hands, pointing at the camera and the papers. The woman sits beside him, looking on and occasionally nodding. The background consists of vertical blue curtains and professional microphones mounted on stands, creating a broadcast or podcast environment. (3) The video transitions into a series of rapid montage clips showing factory production environments. These shots include a woman in a mask and hairnet holding a patterned package, a production line for colorful safety helmets, and a factory worker handling boxes. These scenes are brightly lit with industrial lighting and show various manufacturing objects. (4) The camera returns to the studio where the man performs an extremely exaggerated reaction, widening his eyes and mouth in shock or denial. Large, bold Traditional Chinese text overlays appear on the screen to emphasize his points. The man continues to gesture wildly as he concludes his statement while the woman remains more composed."
6,yga0721-20250430140758-1435500961616519,yga0721,2025-04-30 14:07:58,57.36,1435500961616519.0,2,0.5975357175001501,"(1) Close-up shot of a printed document held by a woman. The camera pans up to show a woman reading the text with a neutral expression. She is wearing an orange uniform similar to the man. The lighting is bright and studio-focused. (2) Sudden cut to a man with short brown hair, also in an orange uniform. He looks shocked, eyes wide, mouth agape, holding the same papers. Large variety text overlays flash on the screen. (3) The man becomes highly animated, waving his hands and pointing to the papers. A screenshot of a Wikipedia page is superimposed on the frame with highlights on specific dates and milestones. (4) The man shouts directly at the camera, pointing aggressively. Various colorful, bold text overlays flash on the screen matching his emphasized words. (5) Final shot shows the man leaning forward over a wooden desk, still shouting and gesturing, while the woman beside him smiles. A smartphone and microphone are visible on the desk."
7,yga0721-20250429162542-900814659316900,yga0721,2025-04-29 16:25:42,37.99,900814659316900.0,2,0.5626676265621735,"(1) A man with short, styled brown hair and an expressive face is wearing a bright orange jumpsuit with reflective silver tape and various patches. He sits in a studio setting against a backdrop of vertical teal curtains. Large white Chinese characters appear as an overlay. He looks directly at the camera with wide eyes and an open mouth. (2) The man points his finger toward the left side of the frame as a logo with the text 'GA GARMY' and pixelated graphics appears in the center. He holds several white papers in his other hand, gesturing with them. The lighting is bright and even, typical of a professional studio setup. (3) A woman with long dark hair, wearing an identical orange jumpsuit, enters the frame and sits next to him. They both look at the papers on the desk. Dynamic red and yellow graphic overlays resembling flames and sparkles appear around the man as he continues to speak animatedly, his facial expressions shifting rapidly between shock and excitement. (4) A small picture-in-picture video appears, showing the man in the same orange uniform standing outdoors, pointing at a sign. In the main frame, he continues to wave his papers and point his finger towards the camera. The woman beside him laughs and looks at the papers. (5) The man leans closer to the camera, his eyes bulging slightly for comedic effect. He continues to gesture aggressively with the papers in his hand. The background remains the static teal curtain, but the visual rhythm is maintained through frequent jump cuts and the reappearance of various text overlays."
8,yga0721-20250502070004-2345753715933560,yga0721,2025-05-02 07:00:04,86.57,2345753715933560.0,2,0.6073142178256957,"(1) A man with brown hair and an orange rescue-style uniform is seated at a table, holding a stack of papers and speaking directly to the camera with an expressive face. He sits against a plain teal backdrop with a small microphone and phone visible on the table. (2) The scene transitions into a fast-paced sequence where the man uses large hand gestures to emphasize 'Steps'. A woman with long dark hair sits next to him, occasionally reacting to his energetic performance. (3) The man demonstrates various dramatic scenarios, including pointing aggressively, pretending to throw papers, and feigning distress. Graphic overlays of fire and speech bubbles appear around him as he acts out making up rumors. (4) The lighting remains bright and consistent throughout the studio setting. The man continues his exaggerated movements, eventually simulating a crying fit with digital tear effects and then pretending to flee, gesturing outward. (5) In the final phase, the man and woman both look directly at the camera, inviting interaction, with the man maintaining a playful, challenging smirk."
9,yga0721-20251106013248-1220563339578319,yga0721,2025-11-06 01:32:48,70.64,1220563339578319.0,2,0.6538803154127506,"(1) Indoor office setting. A man in a red sweatshirt enters from the right, walking towards a man in a white t-shirt and another wearing a large, comical orange character mask sitting at a wooden table. The lighting is bright and even. Behind them are white storage lockers and a green curtained window. (2) Close-up shots focusing on the three men. The man in white holds a smartphone, showing something to the others. Their facial expressions are exaggeratedly surprised and skeptical. The man in red points toward the phone screen with his finger while speaking. (3) The scene shifts to a studio environment where the man in white, now wearing black sunglasses and a thick gold chain, rhythmically tosses stacks of yellow and white papers into the air. He is seated at a white desk with a computer monitor. (4) A series of rapid cuts show group dance sequences in a brightly lit hallway. Several individuals wear the same orange masks and striped shirts, performing synchronized, high-energy arm movements and pointing gestures. Large, bold white and yellow text overlays the center of the frame. (5) Montage of specific actions: a person in an orange mask holds a toy car; another displays an orange luxury shopping bag; a pair of shiny silver high heels is shown close to the camera lens. The man in the white shirt continues to lead the dance moves with exaggerated hip and arm motions. (6) The lighting environment alternates between the bright office and a darker space with glowing blue and white ceiling lights. The group continues their energetic choreography, interacting with props like boxing gloves and paper shopping bags. (7) Final sequence shows the man in white leaning back on a chair, tossing more paper at the camera. The video concludes with a black screen featuring massive, stylized text characters in white and yellow fills."
10,yga0721-20250429190331-786042677168901,yga0721,2025-04-29 19:03:31,64.18,786042677168901.0,2,0.630944304860549,"(1) A man with reddish-brown hair wearing a horizontal striped long-sleeve shirt stands center, gesturing energetically. To his right, a woman with dark hair in a cream-colored sweater smiles and holds a pamphlet. To his left stands a person wearing a large, smiling cartoon deity mask with a red shirt and olive-green pants. They are outdoors on a wooden platform surrounded by lush green trees and modern residential buildings in the background under natural daylight. The man holds up a transparent acrylic donation box with colorful graphics. (2) The camera provides a close-up view of the donation box, showing specific text and permit numbers clearly. Then it cuts back to the group where the man points to a large yellow text overlay on the screen while the masked character claps rhythmically. The woman remains smiling, looking directly at the camera. (3) The man continues to speak with high energy, pointing towards the camera and the box. Large colorful text overlays appear periodically at the bottom and middle of the frame. The background remains consistent with soft outdoor lighting. (4) In the final segment, the man leans closer to the camera for an emotional appeal, holding the donation box prominently. The trio wave and gesture together as more text overlays fill the screen, concluding the presentation in the same outdoor setting."
